Name,Year,Group,Status,"Birth Date",Gender,"Undergraduate Major","Graduate Major","Military Rank","Military Branch","Space Flights","Space Flight (hr)","Space Walks","Space Walks (hr)",Missions,"Death Date","Death Mission",Birth_city,Birth_state,Birth_country,Ugrad_school,Grad_school
"Guion S. Bluford Jr. ",1978,8,Retired,"2042-11-22 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering; Business Administration",Colonel,"US Air Force (Retired)",4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",NULL,NULL,Philadelphia,PA,USA,"Pennsylvania State University","Air Force Institute of Technology; University of Houston-Clear Lake"
"Karol J. Bobko",1969,7,Retired,"2037-12-23 00:00:00",Male,NULL,"Aerospace Engineering",Colonel,"US Air Force (Retired)",3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",NULL,NULL,"New York",NY,USA,"US Air Force Academy","University of Southern California"
"Eric A. Boe",2000,18,Active,"2064-10-01 00:00:00",Male,"Aeronautical Engineering","Electrical Engineering",Colonel,"US Air Force",2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",NULL,NULL,Miami,FL,USA,"US Air Force Academy","Georgia Institute of Technology"
"Charles F. Bolden Jr. ",1980,9,Management,"2046-08-19 00:00:00",Male,"Electrical Science","Systems Management","Major General","US Marine Corps (Retired)",4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",NULL,NULL,Columbia,SC,USA,"US Naval Academy","University of Southern California"
"Frank Borman",1962,2,Retired,"2028-03-14 00:00:00",Male,NULL,"Aeronautical Engineering",Colonel,"US Air Force (Retired)",2,477,0,0,"Gemini 7, Apollo 8",NULL,NULL,Gary,IN,USA,"US Military Academy","California Institute of Technology"
"Stephen G. Bowen",2000,18,Active,"2064-02-13 00:00:00",Male,"Electrical Engineering","Ocean Engineering",Captain,"US Navy",3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",NULL,NULL,Cohasset,MA,USA,"US Naval Academy",MIT
"Kenneth D. Bowersox",1987,12,Retired,"2056-11-14 00:00:00",Male,"Aerospace Engineering","Mechanical Engineering",Captain,"US Navy (Retired)",5,5078,2,13,"STS-50 (Columbia), STS-61 (Endeavor), STS-73 (Columbia), STS-82 (Discovery), STS-113 (Endeavor,Soyuz)",NULL,NULL,Portsmouth,VA,USA,"US Naval Academy","Columbia University"
"Charles E. Brady Jr. ",1992,14,Deceased,"2051-08-12 00:00:00",Male,NULL,Medicine,Captain,"US Navy",1,405,0,0,"STS-78 (Columbia)",7/23/06,NULL,Pinehurst,NC,USA,"University of North Carolina at Chapel Hill","Duke University"
"Vance D. Brand",1966,5,Retired,"2031-05-09 00:00:00",Male,"Business Management; Aeronautical Engineering","Business Administration",Non-Military,"US Marine Corps Reserves",4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",NULL,NULL,Longmont,CA,USA,"University of Colorado","University of California Los Angeles"
"Daniel C. Brandenstein",1978,8,Retired,"2043-01-17 00:00:00",Male,"Mathematics & Physics",NULL,Captain,"US Navy (Retired)",4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",NULL,NULL,Watertown,WI,USA,"University of Wisconsin",
"Randolph J. Bresnik",2004,19,Active,"2067-09-11 00:00:00",Male,Mathematics,"Aviation Systems",Colonel,"US Marine Corps",1,259,2,12,"STS-129 (Atlantis)",NULL,NULL,"Fort Knox",KY,USA,"The Citadel","University of Tennessee-Knoxville"
"Roy D. Bridges Jr. ",1980,9,Retired,"2043-07-19 00:00:00",Male,"Engineering Science",Astronautics,"Major General","US Air Force (Retired)",1,190,0,0,"STS 51-F (Challenger)",NULL,NULL,Atlanta,GA,USA,"US Air Force Academy","Purdue University"
"Curtis L. Brown Jr. ",1987,12,Retired,"2056-03-11 00:00:00",Male,"Electrical Engineering",NULL,Colonel,"US Air Force (Retired)",6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",NULL,NULL,Elizabethtown,NC,USA,"US Air Force Academy",
"David M. Brown",1996,16,Deceased,"2056-04-16 00:00:00",Male,Biology,Medicine,Captain,"US Navy",1,382,0,0,"STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)",Arlington,VA,USA,"College of William & Mary","Eastern Virginia Medical School"
"Mark N. Brown",1984,10,Retired,"2051-11-18 00:00:00",Male,"Aeronautical & Astronautical Engineering","Astronautical Engineering",Colonel,"US Air Force (Retired)",2,249,0,0,"STS 28 (Columbia), STS-48 (Discovery)",NULL,NULL,Valparaiso,IN,USA,"Purdue University","Air Force Institute of Technology"
"James F. Buchli",1978,8,Retired,"2045-06-20 00:00:00",Male,"Aeronautical Engineering","Aeronautical Engineering Systems",Colonel,"US Marine Corps (Retired)",4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",NULL,NULL,"New Rockford",ND,USA,"US Naval Academy","University of West Florida"
"Jay Clark Buckey",NULL,NULL,Retired,"2056-06-06 00:00:00",Male,"Electrical Engineering",Medicine,Non-Military,Non-military,1,381,0,0,"STS-90 (Columbia)",NULL,NULL,"New York",NY,USA,"Cornell University",
"John S. Bull",1966,5,Deceased,"2034-09-25 00:00:00",Male,"Mechanical Engineering","Aeronautical Engineering",Non-Military,Non-military,0,0,0,0,"No missions",8/11/08,NULL,Memphis,TN,USA,"Rice University","Stanford University"
"Daniel C. Burbank",1996,16,Active,"2061-07-27 00:00:00",Male,"Electrical Engineering","Aeronautical Science",Captain,"US Coast Guard (Retired)",3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29,30 (Soyuz)",NULL,NULL,Machester,CT,USA,"US Coast Guard Academy","Embry-Riddle Aeronautical University"
"Daniel W. Bursch",1990,13,Retired,"2057-07-25 00:00:00",Male,Physics,"Engineering Science",Captain,"US Navy (Retired)",4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108,111 (Endeavor)",NULL,NULL,Bristol,PA,USA,"US Naval Academy","US Naval Postgraduate School"
"Robert D. Cabana",1985,11,Management,"2049-01-23 00:00:00",Male,Mathematics,NULL,Colonel,"US Marine Corps (Retired)",4,910,0,0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",NULL,NULL,Minneapolis,MN,USA,"US Naval Academy",
"Yvonne D. Cagle",1996,16,Management,"2059-04-24 00:00:00",Female,Biochemistry,NULL,Colonel,"US Air Force",0,0,0,0,"No missions",NULL,NULL,"West Point",NY,USA,"San Francisco State University",
"Fernando Caldeiro",1996,16,Deceased,"2058-06-12 00:00:00",Male,"Mechanical Engineering","Engineering Management",Non-Military,Non-military,0,0,0,0,"No missions",10/3/09,NULL,"Buenos Aires",,Argentina,"University of Arizona","University of Central Florida"
"Tracy E. Caldwell (Dyson)",1998,17,Active,"1969-08-14 00:00:00",Female,Chemistry,"Physical Chemistry",Non-Military,Non-military,2,4531,3,23,"STS-118 (Endeavor), ISS-23,24 (Soyuz)",NULL,NULL,Arcadia,CA,USA,"California State University-Fullerton","University of California-Davis"
"Charles J. Camarda",1996,16,Management,"2052-05-08 00:00:00",Male,"Aerospace Engineering","Engineering Science; Aerospace Engineering",Non-Military,Non-military,1,333,0,0,"STS-114 (Discovery)",NULL,NULL,Queens,NY,USA,"Polytechnic Institute of Brooklyn","George Washington University; Virginia Polytechnic Institute"
"Kenneth D. Cameron",1984,10,Retired,"2049-11-29 00:00:00",Male,"Aeronautics & Astronautics","Aeronautics & Astronautics; Business Administration",Colonel,"US Marine Corps (Retired)",3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",NULL,NULL,Cleveland,OH,USA,MIT,"Michigan State University"
"Duane G. Carey",1996,16,Retired,"2057-04-30 00:00:00",Male,"Aerospace Engineering & Mechanics","Aerospace Engineering","Lieutenant Colonel","US Air Force (Retired)",1,262,0,0,"STS-109 (Columbia)",NULL,NULL,"St. Paul",MN,USA,"University of Minnesota-Minneapolis",
"M. Scott Carpenter",1959,1,Retired,"2025-05-01 00:00:00",Male,"Aeronautical Engineering",NULL,Commander,"US Navy (Retired)",1,4,0,0,"Mercury 7",NULL,NULL,Boulder,CO,USA,"University of Colorado",
"Gerald P. Carr",1966,5,Retired,"2032-08-22 00:00:00",Male,"Mechanical Engineering","Aeronautical Engineering",Colonel,"US Marine Corps (Retired)",1,2017,3,16,"Skylab 4",NULL,NULL,Denver,CO,USA,"University of Southern California","US Naval Postgraduate School; Princeton University"
"Manley Lanier Carter Jr. ",1984,10,Deceased,"2047-08-15 00:00:00",Male,Chemistry,Medicine,Captain,"US Navy",1,120,0,0,"STS-33 (Discovery)",4/5/91,NULL,Macon,GA,USA,"Emory University",
"John H. Casper",1984,10,Management,"2043-07-09 00:00:00",Male,"Engineering Science",Astronautics,Colonel,"US Air Force (Retired)",4,825,0,0,"STS-36 (Atlantis), STS-54 (Endeavor), STS-62 (Columbia), STS-77 (Endeavor)",NULL,NULL,Greenville,SC,USA,"US Air Force Academy","Purdue University"
"Christopher J. Cassidy",2004,19,Active,"1970-01-04 00:00:00",Male,Mathematics,"Ocean Engineering",Commander,"US Navy",1,4376,6,31,"STS-127 (Endeavor), ISS-35,36 (Soyuz)",NULL,NULL,Salem,MA,USA,"US Naval Academy",MIT
"Robert Cenker",NULL,NULL,Retired,"2048-11-05 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering; Electrical Engineering",Non-Military,Non-military,1,146,0,0,"STS 61-C (Columbia)",NULL,NULL,Uniontown,PA,USA,"Pennsylvania State University","Rutgers University"
"Eugene A. Cernan",1963,3,Retired,"2034-03-14 00:00:00",Male,"Electrical Engineering","Aeronautical Engineering",Captain,"US Navy (Retired)",3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",NULL,NULL,Chicago,IL,USA,"Purdue University","US Naval Postgraduate School"
"Roger B. Chaffee",1963,3,Deceased,"2035-02-15 00:00:00",Male,"Aeronautical Engineering",NULL,"Lieutenant Commander","US Navy",1,0,0,0,"Apollo 1",1/27/67,"Apollo 1","Grand Rapids",MI,USA,"Purdue University",
"Gregory E. Chamitoff",1998,17,Active,"2062-08-06 00:00:00",Male,"Electrical Engineering","Aeronautical Engineering; Aeronautics & Astronautics",Non-Military,Non-military,2,4770,2,13,"STS-124,126 (Discovery,Endeavor), STS-134 (Endeavor)",NULL,NULL,Montreal,,Canada,"California Polytechnic State University","California Institute of Technology; MIT"
"Franklin R. Chang-Diaz",1980,9,Retired,"2050-04-05 00:00:00",Male,"Mechanical Engineering","Applied Plasma Physics",Non-Military,Non-military,7,1602,3,19,"STS 61-C (Columbia), STS-34 (Atlantis), STS-46 (Atlantis), STS-60 (Discovery), STS-75 (Columbia), STS-91 (Discovery), STS-111 (Endeavor)",NULL,NULL,"San Jose",,"Costa Rica","University of Connecticut",MIT
"Philip K. Chapman",1967,6,Retired,"2035-03-05 00:00:00",Male,"Physics & Mathematics","Aeronautics & Astronautics; Instrumentation",Non-Military,Non-military,0,0,0,0,"No missions",NULL,NULL,Melbourne,,Australia,"University of Sydney",MIT
"Kalpana Chawla",1995,15,Deceased,"2061-06-01 00:00:00",Female,"Aeronautical Engineering","Aerospace Engineering",Non-Military,Non-military,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)",Karnal,,India,"Punjab Engineering College","University of Texas-Arlington; University of Colorado"
"Leroy Chiao",1990,13,Retired,"2060-08-28 00:00:00",Male,"Chemical Engineering","Chemical Engineering",Non-Military,Non-military,4,5503,6,36,"STS-65 (Columbia), STS-72 (Endeavor), STS-92 (Discovery), ISS-10 (Soyuz)",NULL,NULL,Milwaukee,WI,USA,"University of California-Berkeley","University of California-Santa Barbara"
"Kevin P. Chilton",1987,12,Retired,"2054-03-11 00:00:00",Male,"Engineering Science","Mechanical Engineering","Brigadier General","US Air Force (Retired)",3,700,0,0,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",NULL,NULL,"Los Angeles",CA,USA,"US Air Force Academy","Columbia University"
"Laurel B. Clark",1996,16,Deceased,"2061-03-10 00:00:00",Female,Zoology,Medicine,Captain,"US Navy",1,382,0,0,"STS-107 (Columbia)",2/1/03,"STS-107 (Columbia)",Ames,IA,USA,"University of Wisconsin-Madison",
"Mary L. Cleave",1980,9,Retired,"2047-02-05 00:00:00",Female,"Biological Science","Microbial Ecology; Environmental Engineering",Non-Military,Non-military,2,262,0,0,"STS 61-B (Atlantis), STS-30 (Atlantis)",NULL,NULL,Southampton,NY,USA,"Colorado State University","Utah State University"
"Michael R. Clifford",1990,13,Retired,"2052-10-13 00:00:00",Male,NULL,"Aerospace Engineering","Lieutenant Colonel","US Army (Retired)",3,666,1,6,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",NULL,NULL,"San Bernardino",CA,USA,"US Military Academy","Georgia Institute of Technology"
"Michael L. Coats",1978,8,Retired,"2046-01-16 00:00:00",Male,NULL,"Science & Technology Administration; Aeronautical Engineering",Captain,"US Navy (Retired)",3,463,0,0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",NULL,NULL,Sacramento,CA,USA,"US Naval Academy","George Washington University; US Naval Postgraduate School"
"Kenneth D. Cockrell",1990,13,Management,"2050-04-09 00:00:00",Male,"Mechanical Engineering","Aeronautical Systems",Non-Military,"US Naval Reserves",5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",NULL,NULL,Austin,TX,USA,"University of Texas","University of West Florida"
"Catherine G. Coleman",1992,14,Active,"2060-12-14 00:00:00",Female,Chemistry,"Polymer Science & Engineering",Colonel,"US Air Force (Retired)",3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26,27 (Soyuz)",NULL,NULL,Charleston,SC,USA,MIT,"University of Massachusetts"
"Eileen M. Collins",1990,13,Retired,"2059-11-19 00:00:00",Female,"Mathematics & Economics","Operations Research; Space Systems Management",Colonel,"US Air Force (Retired)",4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",NULL,NULL,Elmira,NY,USA,"Syracuse University","Stanford University; Webster University"
"Michael Collins",1963,3,Retired,"2030-10-31 00:00:00",Male,NULL,NULL,Non-Military,"US Air Force Reserves",2,266,1,1,"Gemini 10, Apollo 11",NULL,NULL,Rome,,Italy,"US Military Academy",
"Charles Conrad Jr. ",1962,2,Deceased,"2030-05-02 00:00:00",Male,"Aeronautical Engineering",NULL,Captain,"US Navy (Retired)",4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",7/8/99,NULL,Philadelphia,PA,USA,"Princeton University",
"L. Gordon Cooper Jr. ",1959,1,Deceased,"2027-03-06 00:00:00",Male,"Aeronautical Engineering",NULL,Colonel,"US Air Force (Retired)",2,225,0,0,"Mercury 9, Gemini 5",10/4/04,NULL,Shawnee,OK,USA,"Air Force Institute of Technology",
"Richard O. Covey",1978,8,Retired,"2046-08-01 00:00:00",Male,"Engineering Science","Aeronautics & Astronautics",Colonel,"US Air Force (Retired)",4,645,0,0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",NULL,NULL,Fayetteville,AR,USA,"US Air Force Academy","Purdue University"
"Timothy J. Creamer",1998,17,Management,"2059-11-15 00:00:00",Male,Chemistry,Physics,Colonel,"US Army (Retired)",1,3917,0,0,"ISS-22,23 (Soyuz)",NULL,NULL,"Ft. Huachuca",AZ,USA,"Loyola College",MIT
"John O. Creighton",1978,8,Retired,"2043-04-28 00:00:00",Male,NULL,"Science & Technology Administration",Captain,"US Navy (Retired)",3,404,0,0,"STS 51-G (Discovery), STS-36 (Atlantis), STS-48 (Discovery)",NULL,NULL,Orange,TX,USA,"US Naval Academy","George Washington University"
"Robert L. Crippen",1969,7,Retired,"2037-09-11 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",NULL,NULL,Beaumont,TX,USA,"University of Texas",
"Roger K. Crouch",NULL,NULL,Retired,"2040-09-12 00:00:00",Male,Physics,Physics,Non-Military,Non-military,1,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NULL,NULL,Jamestown,TN,USA,"Tennessee Polytechnic Institute","Virginia Polytechnic Institute"
"Frank L. Culbertson Jr. ",1984,10,Retired,"2049-05-15 00:00:00",Male,"Aerospace Engineering",NULL,Captain,"US Navy (Retired)",3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105,108 (Discovery,Endeavor)",NULL,NULL,Charleston,SC,USA,"US Naval Academy",
"Walter Cunningham",1963,3,Retired,"2032-03-16 00:00:00",Male,Physics,Physics,Colonel,"US Marine Corps Reserves",1,260,0,0,"Apollo 7",NULL,NULL,Creston,IA,USA,"University of California-Los Angeles",
"Robert L. Curbeam Jr. ",1995,15,Retired,"2062-03-05 00:00:00",Male,"Aerospace Engineering","Aerospace Engineering; Aeronautical & Astronautical Engineering",Captain,"US Navy (Retired)",3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",NULL,NULL,Baltimore,MD,USA,"US Naval Academy","US Naval Postgraduate School"
"Nancy J. Currie",1990,13,Management,"2058-12-29 00:00:00",Female,"Biological Science","Safety Engineering; Industrial Engineering",Colonel,"US Army (Retired)",4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",NULL,NULL,Wilmington,DE,USA,"Ohio State University","University of Southern California; University of Houston"
"N. Jan Davis",1987,12,Retired,"2053-11-01 00:00:00",Female,"Applied Biology; Mechanical Engineering","Mechanical Engineering",Non-Military,Non-military,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",NULL,NULL,"Cocoa Beach",FL,USA,"Georgia Institute of Technology","Auburn University; University of Alabama-Huntsville"
"Lawrence J. Delucas",NULL,NULL,Retired,"2050-07-11 00:00:00",Male,"Chemistry; Physiological Optics","Chemistry; Biochemistry; Optometry",Non-Military,Non-military,1,331,0,0,"STS-50 (Columbia)",NULL,NULL,Syracuse,NY,USA,"University of Alabama at Birmingham",
"Alvin B. Drew Jr. ",2000,18,Active,"2062-11-05 00:00:00",Male,"Physics & Astronautical Engineering","Aerospace Science; Political Science",Colonel,"US Air Force",2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",NULL,NULL,Washington,DC,USA,"US Air Force Academy","Embry-Riddle Aeronautical University"
"Brian Duffy",1985,11,Retired,"2053-06-20 00:00:00",Male,Mathematics,"Systems Management",Colonel,"US Air Force (Retired)",4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",NULL,NULL,Boston,MA,USA,"US Air Force Academy","University of Southern California"
